pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
-1.5460978645168275,1.2720062892926278,21,0,-0.03900548789716409,-0.47908676070718687,-0.444999501816175,19,3.4425841256384593,43,2,0,-0.01812643349677464,308
-1.5460978645168275,1.2720062892926278,23,1,-2.215952172928478,0.481287771858981,1.8665256881734007,41,2.286638695933064,79,2,3,-0.01812643349677464,230
-1.5460978645168275,-0.7861596349150975,24,0,-2.131977485342104,0.481287771858981,1.8665256881734007,41,2.286638695933064,79,2,5,-0.01812643349677464,230
-1.5460978645168275,-0.7861596349150975,25,1,0.03851199348968552,0.481287771858981,1.8665256881734007,41,2.286638695933064,79,2,5,-0.6931620365487922,230
-1.5460978645168275,-0.7861596349150975,26,0,-0.34907541344456255,0.481287771858981,1.8665256881734007,41,2.286638695933064,79,2,5,-0.01812643349677464,230
-1.5460978645168275,1.2720062892926278,30,1,1.4338266584529786,-0.47908676070718687,-0.444999501816175,18,-0.1301403751633087,149,2,13,-0.01812643349677464,236
-1.5460978645168275,1.2720062892926278,45,0,2.5965888792557226,0.481287771858981,-0.444999501816175,10,0.8637996530018405,145,2,2,-0.01812643349677464,161
-1.5460978645168275,-0.7861596349150975,46,1,0.7361693259713321,-0.47908676070718687,-0.444999501816175,30,-0.6434642498641783,15,2,5,-0.01812643349677464,23
-1.5460978645168275,1.2720062892926278,50,0,1.8214140653872266,1.4416623044251486,-0.444999501816175,5,0.35184657539009684,61,2,27,-0.01812643349677464,21
-1.5460978645168275,-0.7861596349150975,54,1,3.2167287303505194,-0.47908676070718687,-0.444999501816175,835,0.3136614660667741,80,0,5,-4.507113193792691,228
-1.5460978645168275,-0.7861596349150975,68,1,1.356309177066129,0.481287771858981,-0.444999501816175,843,3.7555570153454396,97,0,5,-1.0644316182274016,236
-1.5460978645168275,1.2720062892926278,69,0,-0.8916977831525099,0.481287771858981,-0.444999501816175,843,3.7555570153454396,97,0,14,-0.01812643349677464,236
-1.5460978645168275,1.2720062892926278,72,0,-0.42659289483141216,-0.47908676070718687,-0.444999501816175,805,0.6963980671516508,33,0,22,-0.01812643349677464,257
-1.5460978645168275,1.2720062892926278,92,0,-0.27155793205771295,-0.47908676070718687,-0.444999501816175,16,0.8810399881834136,80,2,18,-0.01812643349677464,236
-1.5460978645168275,1.2720062892926278,93,1,3.914386062832166,-0.47908676070718687,-0.444999501816175,20,-0.06343727280104884,8,2,24,-0.01812643349677464,157
-1.5460978645168275,-0.7861596349150975,97,1,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,800,-0.14222427051879058,80,2,5,-0.01812643349677464,236
-1.5460978645168275,-0.7861596349150975,98,1,-0.42659289483141216,-0.47908676070718687,0.7107630931786129,810,4.14216046294407,48,0,5,-0.01812643349677464,229
-1.5460978645168275,1.2720062892926278,99,0,1.588861621226678,-0.47908676070718687,0.7107630931786129,810,4.14216046294407,48,0,18,-0.01812643349677464,229
-1.5460978645168275,1.2720062892926278,100,0,0.19354695626338475,-0.47908676070718687,-0.444999501816175,7,0.831577221002727,120,0,20,-0.01812643349677464,236
-1.5460978645168275,-0.7861596349150975,103,1,0.5036168818107832,-0.47908676070718687,-0.444999501816175,9,0.8112762768055172,96,0,23,-0.01812643349677464,362
-1.5460978645168275,1.2720062892926278,110,1,0.5811343631976328,0.481287771858981,0.7107630931786129,2,0.3726308754015257,131,2,15,-0.01812643349677464,236
-1.5460978645168275,1.2720062892926278,111,0,1.356309177066129,0.481287771858981,0.7107630931786129,2,0.3726308754015257,131,2,15,-0.01812643349677464,236
-1.5460978645168275,1.2720062892926278,113,1,-0.27155793205771295,-0.47908676070718687,-0.444999501816175,28,-0.06343727280104884,77,0,15,-0.01812643349677464,236
-1.5460978645168275,1.2720062892926278,120,0,0.9687217701318809,-0.47908676070718687,-0.444999501816175,843,3.7555570153454396,80,0,14,-0.01812643349677464,236
-1.5460978645168275,1.2720062892926278,122,0,-0.03900548789716409,-0.47908676070718687,-0.444999501816175,807,3.644466381851795,115,2,20,-0.01812643349677464,236
-1.5460978645168275,-0.7861596349150975,124,1,-0.34907541344456255,-0.47908676070718687,-0.444999501816175,12,-0.14077420307613278,80,0,5,-0.25438889456498076,283
-1.5460978645168275,1.2720062892926278,125,1,-0.34907541344456255,0.481287771858981,-0.444999501816175,8,1.1174821851134278,42,0,19,-0.01812643349677464,97
-1.5460978645168275,1.2720062892926278,126,0,-0.8141803017656603,0.481287771858981,-0.444999501816175,8,1.1174821851134278,42,0,19,-0.01812643349677464,97
-1.5460978645168275,1.2720062892926278,127,0,0.4260994004239336,-0.47908676070718687,-0.444999501816175,846,1.9789015164057067,116,2,20,-0.01812643349677464,236
-1.5460978645168275,1.2720062892926278,129,1,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,27,-0.1301403751633087,92,2,27,-0.01812643349677464,311
-1.5460978645168275,-0.7861596349150975,130,1,1.2012742142924298,-0.47908676070718687,-0.444999501816175,43,0.042901006327191564,185,2,5,-0.01812643349677464,339
-1.5460978645168275,1.2720062892926278,131,1,0.8136868073581817,-0.47908676070718687,-0.444999501816175,32,-0.04410304023227786,12,0,19,-0.01812643349677464,130
-1.5460978645168275,1.2720062892926278,132,0,0.03851199348968552,-0.47908676070718687,-0.444999501816175,22,2.544106870781617,100,2,20,-0.01812643349677464,367
-1.5460978645168275,1.2720062892926278,133,0,2.2090014723214746,-0.47908676070718687,-0.444999501816175,42,-0.1301403751633087,62,2,20,-0.01812643349677464,30
-1.5460978645168275,-0.7861596349150975,134,1,0.9687217701318809,-0.47908676070718687,-0.444999501816175,26,-0.1301403751633087,125,2,5,-0.01812643349677464,207
-1.5460978645168275,1.2720062892926278,144,0,1.2012742142924298,-0.47908676070718687,-0.444999501816175,834,4.429355020367108,80,0,14,-0.01812643349677464,75
-1.5460978645168275,1.2720062892926278,147,0,-0.5816278576051114,-0.47908676070718687,0.7107630931786129,39,0.4199185414182257,155,2,18,-0.01812643349677464,307
-1.5460978645168275,1.2720062892926278,150,1,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,29,-0.1301403751633087,80,2,22,-0.01812643349677464,214
-1.5460978645168275,-0.7861596349150975,151,1,0.8912042887450313,-0.47908676070718687,-0.444999501816175,36,-0.05377015651666335,7,2,5,-0.01812643349677464,267
-1.5460978645168275,-0.7861596349150975,153,1,1.4338266584529786,-0.47908676070718687,-0.444999501816175,818,0.3328332910819675,20,0,5,1.7707179145910716,248
-1.5460978645168275,-0.7861596349150975,156,1,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,33,0.12217135985915262,80,0,5,-0.01812643349677464,263
-1.5460978645168275,1.2720062892926278,162,0,1.1237567329055802,-0.47908676070718687,-0.444999501816175,836,-0.10750385567179166,38,0,18,-0.01812643349677464,91
-1.5460978645168275,1.2720062892926278,163,0,2.2865189537083244,1.4416623044251486,-0.444999501816175,5,0.35184657539009684,61,2,27,-0.01812643349677464,26
-1.5460978645168275,1.2720062892926278,169,0,2.364036435095174,-0.47908676070718687,-0.444999501816175,7,0.831577221002727,120,0,20,-0.01812643349677464,263
-1.5460978645168275,1.2720062892926278,171,0,0.8912042887450313,-0.47908676070718687,-0.444999501816175,13,1.9569900306355188,160,0,13,-0.01812643349677464,236
-1.5460978645168275,-0.7861596349150975,175,1,1.2012742142924298,-0.47908676070718687,-0.444999501816175,35,-0.1301403751633087,36,2,5,-0.01812643349677464,348
-1.5460978645168275,-0.7861596349150975,182,1,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,45,-0.04410304023227786,80,2,5,-0.01812643349677464,236
-1.5460978645168275,1.2720062892926278,183,1,0.9687217701318809,-0.47908676070718687,-0.444999501816175,804,-0.13521561121261108,152,2,15,-0.01812643349677464,236
-1.5460978645168275,1.2720062892926278,193,0,1.8214140653872266,-0.47908676070718687,-0.444999501816175,832,-0.11282076962820371,80,0,18,-0.01812643349677464,348
-1.5460978645168275,1.2720062892926278,198,1,0.5036168818107832,-0.47908676070718687,0.7107630931786129,841,9.262027654708204,45,0,13,-0.01812643349677464,15
-1.5460978645168275,1.2720062892926278,199,0,2.2090014723214746,-0.47908676070718687,0.7107630931786129,841,9.262027654708204,45,0,13,-0.01812643349677464,127
-1.5460978645168275,-0.7861596349150975,202,1,0.27106443765023436,-0.47908676070718687,-0.444999501816175,0,-0.5467930870203234,45,2,5,-0.01812643349677464,236
-1.5460978645168275,-0.7861596349150975,205,1,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,38,0.267178104124935,80,2,5,-0.01812643349677464,228
-1.5460978645168275,-0.7861596349150975,206,1,-0.9692152645393595,-0.47908676070718687,-0.444999501816175,38,0.267178104124935,80,2,5,-0.01812643349677464,228
-1.5460978645168275,1.2720062892926278,207,1,-1.4343201528604572,0.481287771858981,1.8665256881734007,40,1.6766436583883395,60,2,14,-0.01812643349677464,51
-1.5460978645168275,1.2720062892926278,208,0,-1.2017677086999083,0.481287771858981,1.8665256881734007,40,1.6766436583883395,60,2,14,-0.01812643349677464,51
-1.5460978645168275,1.2720062892926278,209,1,0.5036168818107832,0.481287771858981,1.8665256881734007,40,1.6766436583883395,60,2,25,-0.01812643349677464,51
-1.5460978645168275,1.2720062892926278,211,0,0.5036168818107832,0.481287771858981,1.8665256881734007,40,1.6766436583883395,60,2,14,-0.01812643349677464,51
-1.5460978645168275,-0.7861596349150975,214,1,1.5113441398398282,-0.47908676070718687,-0.444999501816175,17,-0.14077420307613278,80,2,5,-0.01812643349677464,8
-1.5460978645168275,1.2720062892926278,215,0,-0.1165229692840137,-0.47908676070718687,-0.444999501816175,15,-0.10750385567179166,80,0,15,-0.01812643349677464,236
-1.5460978645168275,-0.7861596349150975,216,1,0.5036168818107832,0.481287771858981,-0.444999501816175,16,0.8810399881834136,87,2,5,0.5556538290974402,191
-1.5460978645168275,1.2720062892926278,217,0,3.6043161372847674,0.481287771858981,-0.444999501816175,16,0.8810399881834136,87,2,18,-0.01812643349677464,191
-1.5460978645168275,-0.7861596349150975,219,1,1.2787916956792793,0.481287771858981,-0.444999501816175,936,0.5393074275303865,154,2,5,-0.01812643349677464,4
-1.5460978645168275,1.2720062892926278,220,0,1.356309177066129,0.481287771858981,-0.444999501816175,936,0.5393074275303865,154,2,14,-0.01812643349677464,4
-1.5460978645168275,1.2720062892926278,221,1,-0.1940404506708633,0.481287771858981,-0.444999501816175,47,0.38318349953756087,173,2,15,-0.01812643349677464,240
-1.5460978645168275,1.2720062892926278,222,0,0.27106443765023436,0.481287771858981,-0.444999501816175,47,0.38318349953756087,173,2,15,-0.01812643349677464,240
-1.5460978645168275,1.2720062892926278,227,0,0.5036168818107832,-0.47908676070718687,-0.444999501816175,834,4.429355020367108,49,0,14,-0.01812643349677464,236
-1.5460978645168275,1.2720062892926278,228,0,0.03851199348968552,-0.47908676070718687,-0.444999501816175,24,1.0289468673345117,53,2,20,-0.01812643349677464,211
-1.5460978645168275,1.2720062892926278,229,1,1.2012742142924298,-0.47908676070718687,-0.444999501816175,821,-0.06923754257168015,19,0,19,-0.01812643349677464,257
-1.5460978645168275,1.2720062892926278,230,0,-0.1165229692840137,-0.47908676070718687,0.7107630931786129,39,0.4199185414182257,155,2,18,-0.01812643349677464,307
